Applicant_ID,Applicant_Name,Age,Gender,City,Region,Employment_Type,Education,Marital_Status,Annual_Income,Credit_Score,Dependents,Years_At_Job,Own_House
APP00033,Vijay Bose,37,Male,Thane,West,Salaried,Doctorate,Widowed,629637.0,715.0,4,1,No
APP00034,Sachin Mishra,45,Male,Ranchi,East,Freelancer,Post Graduate,Married,479725.0,719.0,2,4,No
APP00035,Vijay Patel,43,Female,Hyderabad,South,Government Employee,High School,Married,801425.0,625.0,3,0,No
APP00036,Geeta Sharma,32,Female,Indore,Central,Salaried,Doctorate,Married,1147188.0,740.0,4,0,No
APP00037,Amit Iyer,22,Female,Bangalore,South,Freelancer,Doctorate,Single,710284.0,604.0,3,4,Yes
APP00038,Ajay Das,42,Male,Indore,Central,Salaried,High School,Widowed,591698.0,649.0,2,0,No
APP00039,Amit Tiwari,30,Female,Bangalore,South,Salaried,Doctorate,Married,782028.0,707.0,1,6,Yes
APP00040,Vijay Roy,25,Female,Jaipur,Central,Self-Employed,Graduate,Single,1127332.0,819.0,1,1,No
APP00041,Harish Rao,40,Female,Faridabad,North,Government Employee,High School,Married,569000.0,593.0,0,5,No
APP00042,Meena Tiwari,24,Male,Jaipur,Central,Salaried,High School,Widowed,,709.0,2,0,No
APP00043,Nisha Dubey,40,Male,Mumbai,West,Freelancer,Graduate,Divorced,392847.0,734.0,1,4,Yes
APP00044,Sachin Bose,42,Male,Bangalore,South,Freelancer,Graduate,Divorced,610175.0,611.0,2,1,No
APP00045,Vikram Gupta,49,Female,Jaipur,Central,Business Owner,High School,Widowed,664554.0,715.0,0,4,Yes
APP00046,Ravi Mishra,42,Female,Chennai,South,Self-Employed,Doctorate,Divorced,911766.0,690.0,4,1,No
APP00047,Sneha Gupta,29,Female,Chennai,South,Business Owner,Graduate,Divorced,906308.0,672.0,0,8,No
APP00048,POOJA RAO,41,Male,Chennai,South,Self-Employed,Post Graduate,Married,1250251.0,736.0,4,2,Yes
APP00049,Geeta Roy,35,Male,Delhi,North,Government Employee,Post Graduate,Widowed,1108827.0,726.0,0,1,Yes
APP00050,Divya Yadav,29,Female,Gurgaon,North,Self-Employed,Graduate,Married,810075.0,661.0,3,0,No
APP00051,Anita Yadav,35,Male,Patna,East,Business Owner,Doctorate,Married,1937040.0,785.0,1,13,No
APP00052,Amit Das,37,Male,Bhopal,Central,Salaried,Graduate,Single,518556.0,688.0,1,1,No
APP00053,Sneha Tiwari,33,Male,Indore,Central,Self-Employed,Doctorate,Divorced,1325535.0,722.0,4,11,Yes
APP00054,Suresh Dubey,25,Male,Patna,East,Business Owner,Doctorate,Single,1906826.0,842.0,1,0,Yes
APP00055,Manoj Verma,38,Male,Indore,Central,Salaried,Post Graduate,Widowed,514265.0,667.0,0,4,No
APP00056,Deepak Kumar,43,Female,Mysore,South,Freelancer,Post Graduate,Widowed,456148.0,716.0,0,1,No
APP00057,Sachin Iyer,43,Male,Bangalore,South,Business Owner,High School,Divorced,1144962.0,728.0,4,6,No
APP00058,Shweta Patel,65,Female,Gurgaon,North,Self-Employed,Post Graduate,Married,1279411.0,773.0,2,6,Yes
APP00059,Rahul Mishra,34,Female,Delhi,North,Government Employee,Doctorate,Divorced,895229.0,639.0,2,3,No
APP00060,Arun Tiwari,35,Male,Ranchi,East,Freelancer,Graduate,Widowed,494054.0,619.0,2,3,Yes
APP00061,Nisha Rao,44,Female,Bangalore,South,Salaried,Post Graduate,Widowed,429711.0,622.0,4,0,No
APP00062,Kavita Das,48,Female,Nashik,West,Self-Employed,Doctorate,Widowed,1494491.0,739.0,0,0,No
APP00063,Nitin Kumar,30,Male,Ahmedabad,Central,Government Employee,Post Graduate,Married,,662.0,0,3,No
APP00064,Ajay Singh,31,Male,Bangalore,South,Business Owner,Doctorate,Single,2170836.0,820.0,0,14,No
APP00065,Suman Kumar,21,Male,Chennai,South,Self-Employed,High School,Single,684749.0,621.0,2,2,No
APP00066,Kavita Dubey,46,Female,Mysore,South,Freelancer,Graduate,Married,384227.0,726.0,4,0,Yes
APP00067,Ajay Joshi,33,Female,Mumbai,West,Self-Employed,Doctorate,Divorced,963200.0,771.0,2,4,No
APP00068,Rajesh Iyer,42,Female,Bangalore,South,Freelancer,Post Graduate,Widowed,656594.0,745.0,2,3,Yes
APP00069,Prakash Rao,22,Male,Indore,Central,Salaried,Doctorate,Married,752837.0,724.0,0,0,Yes
APP00070,Manoj Nair,30,Male,Chennai,South,Freelancer,High School,Divorced,364391.0,727.0,2,0,No
APP00071,Nisha Reddy,21,Male,Bangalore,South,Freelancer,Post Graduate,Widowed,446341.0,623.0,2,2,Yes
APP00072,Shweta Kumar,25,Male,Kolkata,East,Salaried,Post Graduate,Married,997752.0,747.0,4,0,Yes
APP00073,Harish Sinha,52,Female,Jaipur,Central,Government Employee,Post Graduate,Single,423082.0,707.0,2,4,No
APP00074,Sanjay Tiwari,38,Male,Faridabad,North,Salaried,Graduate,Single,563557.0,656.0,4,3,Yes
APP00075,Ravi Nair,39,Female,Bhubaneswar,East,Business Owner,High School,Divorced,1198367.0,784.0,0,2,No
APP00076,Nitin Bose,25,Male,Bangalore,South,Self-Employed,High School,Married,804843.0,669.0,0,1,Yes
APP00077,Prakash Mishra,40,M,Nashik,West,Government Employee,Graduate,Single,447254.0,634.0,0,7,No
APP00078,MANOJ REDDY,33,Male,Delhi,North,Business Owner,Graduate,Widowed,975994.0,666.0,4,4,No
APP00079,Arun Dubey,46,Male,Ahmedabad,Central,Government Employee,High School,Widowed,490704.0,692.0,3,1,Yes
APP00080,Sanjay Singh,44,Female,Ranchi,East,Freelancer,High School,Divorced,482760.0,614.0,4,6,Yes
APP00081,Divya Kumar,37,Male,Jaipur,Central,Freelancer,High School,Divorced,417599.0,705.0,4,1,No
APP00082,Suman Reddy,32,Female,Bhubaneswar,East,Salaried,Post Graduate,Widowed,999514.0,663.0,0,5,No
APP00083,Manoj Tiwari,51,Female,Mumbai,West,Government Employee,High School,Single,443465.0,684.0,2,1,Yes
APP00084,Manoj Dubey,34,Female,Chennai,South,Business Owner,High School,Divorced,862425.0,644.0,1,11,No
APP00085,Rekha Joshi,38,Male,Bhopal,Central,Government Employee,High School,Widowed,538200.0,610.0,0,1,No
APP00086,Rohit Das,58,Male,Delhi,North,Salaried,Graduate,Single,816886.0,624.0,1,5,No
APP00087,Suresh Bose,44,Female,Jaipur,Central,Salaried,High School,Single,593102.0,658.0,2,0,Yes
APP00088,Priya Mishra,29,Male,Ranchi,East,Government Employee,Post Graduate,Divorced,315147.0,717.0,2,8,Yes
APP00089,Pooja Patel,29,Male,Delhi,North,Freelancer,Doctorate,Single,651792.0,676.0,3,3,Yes
APP00090,Manoj Das,32,Female,Patna,East,Salaried,Post Graduate,Widowed,642005.0,667.0,2,6,Yes
APP00091,Suman Yadav,33,Male,Bhubaneswar,East,Salaried,Graduate,Single,641768.0,584.0,1,6,No
APP00092,Sneha Patel,23,Female,Mysore,South,Self-Employed,Graduate,Widowed,640585.0,720.0,4,0,Yes
APP00093,Nitin Jain,41,Female,Indore,Central,Freelancer,Post Graduate,Single,821303.0,718.0,2,0,No
APP00094,Meena Rao,36,Male,Patna,East,Salaried,High School,Single,425581.0,641.0,4,2,Yes
APP00095,Vikram Patel,41,Male,Nashik,West,Business Owner,Doctorate,Widowed,1382196.0,746.0,4,13,Yes
APP00096,Meena Nair,53,Male,Ahmedabad,Central,Government Employee,Graduate,Divorced,311474.0,598.0,0,8,Yes
APP00097,Nisha Sinha,40,Male,Kolkata,East,Business Owner,Post Graduate,Widowed,1444533.0,729.0,1,13,Yes
APP00098,Ajay Reddy,30,Male,Noida,North,Business Owner,,Divorced,2499274.0,824.0,1,4,No
APP00099,Kavita Patel,59,Male,Hyderabad,South,Freelancer,Graduate,Divorced,384897.0,693.0,1,0,Yes
APP00100,Pooja Sinha,39,Female,Kolkata,East,Self-Employed,Graduate,Divorced,773376.0,719.0,4,3,No
APP00101,Divya Roy,29,Male,Bhopal,Central,Self-Employed,Post Graduate,Widowed,816145.0,563.0,1,3,No
APP00102,Priya Jain,32,Male,Jaipur,Central,Self-Employed,Post Graduate,Married,500950.0,663.0,2,6,No
APP00103,Rahul Mishra,29,Male,Ahmedabad,Central,Self-Employed,Doctorate,Single,1238060.0,637.0,2,10,No
APP00104,Prakash Jain,56,Male,Delhi,North,Business Owner,High School,Widowed,933499.0,678.0,4,6,Yes
APP00105,Suresh Gupta,21,Male,Delhi,North,Salaried,High School,Single,723697.0,652.0,1,2,No
APP00106,sneha roy,50,Male,Jaipur,Central,Freelancer,,Divorced,383705.0,642.0,1,8,Yes
APP00107,Vikram Nair,38,Male,Bhubaneswar,East,Self-Employed,High School,Single,651275.0,638.0,3,2,No
APP00108,Divya Singh,44,Male,Bangalore,South,Salaried,Post Graduate,Divorced,473653.0,676.0,1,4,No
APP00109,Rahul Bose,22,Female,Ranchi,East,Self-Employed,Graduate,Widowed,1106642.0,705.0,2,2,Yes
APP00110,Nitin Verma,30,Male,Nashik,West,Business Owner,Post Graduate,Widowed,1481350.0,800.0,2,7,No
APP00111,Harish Dubey,58,Female,Ranchi,East,Freelancer,Post Graduate,Divorced,863301.0,675.0,0,0,Yes
APP00112,Arun Sinha,47,Female,Hyderabad,South,Business Owner,Post Graduate,Widowed,1976056.0,814.0,2,0,Yes
APP00113,Vikram Shah,48,Male,Noida,North,Freelancer,Post Graduate,Divorced,336189.0,581.0,2,9,No
APP00114,Sunita Bose,21,Male,Indore,Central,Salaried,Graduate,Married,636024.0,542.0,0,6,Yes
APP00115,Harish Tiwari,54,Female,Pune,West,Freelancer,Doctorate,Married,492984.0,570.0,0,2,No
APP00116,Sanjay Bose,37,Male,Noida,North,Freelancer,Graduate,Divorced,499070.0,668.0,1,1,No
APP00117,Sneha Gupta,24,Female,Mysore,South,Government Employee,Graduate,Married,660495.0,672.0,0,0,Yes
APP00118,Vikram Das,28,Male,Chennai,South,Freelancer,Doctorate,Divorced,812105.0,653.0,1,2,Yes
APP00119,Suman Dubey,28,Male,Indore,Central,Self-Employed,Graduate,Married,920971.0,650.0,2,0,Yes
APP00120,Rajesh Jain,30,Male,Chennai,South,Salaried,Post Graduate,Married,461864.0,631.0,1,1,Yes
APP00121,Prakash Sharma,57,Male,Jaipur,Central,Business Owner,High School,Single,972694.0,660.0,4,8,Yes
APP00122,Kavita Iyer,40,Male,Chennai,South,Business Owner,Doctorate,Married,1986487.0,737.0,2,5,No
APP00123,Sachin Nair,32,Female,Mysore,South,Freelancer,Graduate,Divorced,413627.0,624.0,3,3,Yes
APP00124,Prakash Reddy,21,Female,Bhubaneswar,East,Self-Employed,Graduate,Divorced,649634.0,542.0,4,5,Yes
APP00125,Kavita Gupta,43,Male,Noida,North,Freelancer,Doctorate,Single,746687.0,824.0,0,0,No
APP00126,Sachin Iyer,49,Male,Mumbai,West,Business Owner,Post Graduate,Widowed,1988563.0,650.0,2,1,Yes
APP00127,Sneha Iyer,30,Male,Jaipur,Central,Salaried,Graduate,Single,343994.0,599.0,0,0,Yes
APP00128,Vikram Bose,27,Female,Mumbai,West,Business Owner,Doctorate,Divorced,1758560.0,789.0,2,4,Yes
APP00129,Ravi Yadav,37,Male,Ahmedabad,Central,Government Employee,Doctorate,Single,1014190.0,693.0,4,3,No
APP00130,Nisha Verma,29,Male,Indore,Central,Government Employee,Graduate,Single,477316.0,721.0,1,0,Yes
APP00131,Vijay Das,29,Male,Patna,East,Business Owner,Doctorate,Married,1182192.0,744.0,1,1,Yes
APP00132,Deepak Shah,57,Male,Hyderabad,South,Freelancer,Doctorate,Divorced,704153.0,680.0,4,1,No
APP00133,Kavita Rao,31,Female,Thane,West,Business Owner,Post Graduate,Divorced,1264634.0,676.0,2,0,Yes
APP00134,Sanjay Iyer,29,Female,Indore,Central,Government Employee,Doctorate,Widowed,357044.0,666.0,2,16,No
APP00135,Harish Tiwari,35,Male,Nashik,West,Self-Employed,Post Graduate,Married,742184.0,637.0,1,0,Yes
APP00136,Ravi Roy,45,Male,Faridabad,North,Freelancer,Post Graduate,Widowed,679247.0,676.0,4,3,No
APP00137,Ajay Verma,21,Male,Chennai,South,Business Owner,Post Graduate,Married,1635609.0,697.0,3,1,No
APP00138,pooja rao,43,Male,Gurgaon,North,Freelancer,Doctorate,Widowed,741963.0,533.0,1,1,Yes
APP00139,Divya Kumar,40,Male,Patna,East,Business Owner,Graduate,Married,,711.0,1,0,Yes
APP00140,Rahul Iyer,21,Female,Kolkata,East,Freelancer,Post Graduate,Widowed,1017566.0,,2,0,No
APP00141,Suresh Jain,29,Male,Chennai,South,Government Employee,High School,Divorced,376548.0,684.0,0,1,No
APP00142,Kavita Patel,32,Male,Mysore,South,Government Employee,Graduate,Married,732544.0,702.0,1,3,Yes
APP00143,Vikram Nair,21,Male,Noida,North,Government Employee,Doctorate,Married,638512.0,679.0,2,7,Yes
APP00144,Ravi Yadav,35,Female,Patna,East,Salaried,Graduate,Single,630551.0,661.0,4,0,No
APP00145,Prakash Sharma,38,Male,Delhi,North,Freelancer,Post Graduate,Single,576648.0,713.0,4,0,Yes
APP00146,Sachin Patel,40,Female,Chennai,South,Freelancer,Graduate,Widowed,410822.0,671.0,3,0,Yes
APP00147,Sneha Shah,41,Female,Bhopal,Central,Self-Employed,Post Graduate,Divorced,858963.0,,4,1,Yes
APP00148,Prakash Mishra,58,Male,Bhubaneswar,East,Government Employee,Doctorate,Widowed,725416.0,723.0,0,6,No
APP00149,Rekha Verma,21,Male,Nashik,West,Salaried,High School,Single,298544.0,530.0,1,5,Yes
APP00150,Manoj Sinha,34,Female,Chennai,South,Self-Employed,Post Graduate,Divorced,580739.0,653.0,2,9,Yes
APP00151,Ajay Das,46,Male,Bhopal,Central,Government Employee,Graduate,Widowed,185162.0,639.0,3,0,No
APP00152,Sachin Tiwari,45,Male,Chennai,South,Freelancer,Graduate,Widowed,524779.0,682.0,3,1,Yes
APP00153,Kavita Joshi,41,Female,Ahmedabad,Central,Self-Employed,Doctorate,Divorced,1020330.0,723.0,3,8,Yes
APP00154,Rajesh Yadav,60,Female,Jaipur,Central,Salaried,High School,Married,392268.0,671.0,1,1,Yes
APP00155,Rohit Mishra,46,Female,Ranchi,East,Self-Employed,Graduate,Widowed,594539.0,663.0,4,5,Yes
APP00156,Meena Reddy,33,Female,Ranchi,East,Business Owner,Graduate,Widowed,,733.0,2,6,No
APP00157,Rohit Yadav,35,Male,Nashik,West,Business Owner,Graduate,Widowed,847645.0,652.0,4,1,No
APP00158,Nisha Tiwari,41,Male,Mysore,South,Self-Employed,Graduate,Single,1031324.0,741.0,0,4,Yes
APP00159,RAHUL PATEL,42,Male,Bhubaneswar,East,Self-Employed,Graduate,Widowed,1250430.0,671.0,4,0,Yes
APP00160,Amit Sharma,25,MALE,Delhi,North,Government Employee,Doctorate,Single,798148.0,707.0,0,2,Yes
APP00161,Rekha Dubey,44,Female,Mumbai,West,Self-Employed,Graduate,Married,786659.0,688.0,2,2,Yes
APP00162,Rohit Iyer,26,Male,Gurgaon,North,Salaried,Doctorate,Divorced,803487.0,669.0,0,8,Yes
APP00163,Sanjay Yadav,39,Male,Gurgaon,North,Self-Employed,Graduate,Married,974183.0,710.0,2,4,Yes
APP00164,Sachin Iyer,40,Male,Nashik,West,Government Employee,Graduate,Divorced,591290.0,599.0,3,3,No
APP00165,Priya Kumar,53,Male,Noida,North,Government Employee,Post Graduate,Divorced,575649.0,612.0,0,16,No
APP00166,Meena Tiwari,36,Male,Patna,East,Freelancer,Graduate,Single,880803.0,704.0,0,2,No
APP00167,Nisha Iyer,36,Male,Mumbai,West,Freelancer,Graduate,Single,435967.0,591.0,1,3,No
APP00168,Sneha Sharma,21,Male,Patna,East,Government Employee,Doctorate,Widowed,732069.0,689.0,0,1,Yes
APP00169,Sunita Iyer,34,Male,Thane,West,Government Employee,Graduate,Widowed,825388.0,659.0,0,0,No
APP00170,Rekha Sinha,22,F,Bangalore,South,Self-Employed,Doctorate,Divorced,1118403.0,624.0,4,2,No
APP00171,Anita Reddy,35,Female,Bhubaneswar,East,Government Employee,Graduate,Widowed,664874.0,752.0,1,0,No
APP00172,Meena Kumar,49,Male,Kolkata,East,Business Owner,Doctorate,Married,1313810.0,744.0,4,12,No
APP00173,Vijay Jain,35,Female,Noida,North,Freelancer,Doctorate,Widowed,534021.0,778.0,3,0,Yes
APP00174,Divya Nair,38,Male,Ahmedabad,Central,Freelancer,High School,Divorced,282618.0,664.0,1,9,Yes
APP00175,Sachin Reddy,32,Male,Gurgaon,North,Government Employee,Doctorate,Married,679768.0,658.0,4,3,No
APP00176,Meena Sharma,32,Male,Kolkata,East,Freelancer,Graduate,Widowed,708287.0,529.0,1,2,Yes
APP00177,Sneha Bose,50,Male,Ranchi,East,Business Owner,Doctorate,Single,933579.0,672.0,1,7,No
APP00178,Deepak Tiwari,34,Female,Ahmedabad,Central,Self-Employed,Graduate,Married,764029.0,694.0,4,1,Yes
APP00179,Ravi Gupta,26,Male,Bhubaneswar,East,Freelancer,High School,Married,662840.0,702.0,4,0,Yes
APP00180,Rekha Iyer,50,Male,Bangalore,South,Freelancer,Post Graduate,Divorced,494329.0,617.0,0,4,No
APP00181,Anita Kumar,32,Male,Hyderabad,South,Salaried,Graduate,Widowed,688087.0,599.0,1,0,Yes
APP00182,Vijay Shah,45,Male,Pune,West,Freelancer,Post Graduate,Widowed,722079.0,622.0,4,7,No
APP00183,Geeta Shah,34,Female,Ranchi,East,Freelancer,Doctorate,Widowed,873899.0,622.0,4,1,Yes
APP00184,Suresh Tiwari,44,Male,Ahmedabad,Central,Salaried,High School,Married,179439.0,714.0,2,8,Yes
APP00185,Nitin Singh,32,Female,Patna,East,Business Owner,Post Graduate,Widowed,1817643.0,715.0,1,3,Yes
APP00186,Divya Verma,23,Male,Mumbai,West,Self-Employed,Graduate,Divorced,981524.0,608.0,0,2,No
APP00187,Nitin Jain,21,Female,Bhubaneswar,East,Salaried,Post Graduate,Widowed,1025362.0,692.0,4,5,No
APP00188,Rohit Bose,37,Male,Indore,Central,Business Owner,Doctorate,Widowed,2029856.0,768.0,4,6,No
APP00189,Nisha Bose,34,Male,Indore,Central,Salaried,High School,Widowed,469749.0,659.0,2,4,No
APP00190,Manoj Roy,21,Male,Chennai,South,Business Owner,,Married,975772.0,657.0,4,7,No
APP00191,Ravi Patel,38,Male,Delhi,North,Freelancer,Graduate,Married,552137.0,625.0,0,0,No
APP00192,ajay singh,30,Female,Chennai,South,Self-Employed,Doctorate,Single,728897.0,690.0,2,3,Yes
APP00193,Rahul Mishra,48,Male,Bhubaneswar,East,Self-Employed,Doctorate,Married,1233423.0,724.0,1,3,Yes
APP00194,Rekha Jain,47,Female,Ahmedabad,Central,Government Employee,High School,Married,274379.0,660.0,0,9,Yes
APP00195,Meena Das,21,Male,Mumbai,West,Salaried,Doctorate,Divorced,609676.0,617.0,0,0,No
APP00196,Nisha Iyer,38,Female,Nashik,West,Government Employee,Graduate,Single,492577.0,657.0,2,3,No
APP00197,Meena Tiwari,31,M,Mumbai,West,Freelancer,Doctorate,Widowed,,597.0,2,5,Yes
APP00198,Rahul Jain,24,Male,Bhubaneswar,East,Freelancer,Doctorate,Married,786095.0,576.0,2,2,No
APP00199,Ravi Das,42,Male,Indore,Central,Salaried,Post Graduate,Single,753270.0,627.0,2,0,No
APP00200,Ravi Sharma,45,Male,Faridabad,North,Salaried,Graduate,Divorced,709362.0,592.0,0,0,Yes
APP00201,Vikram Singh,63,Male,Hyderabad,South,Freelancer,Post Graduate,Married,585591.0,725.0,2,0,No
APP00202,KAVITA DUBEY,30,Male,Bangalore,South,Salaried,High School,Single,512372.0,628.0,3,2,No
APP00203,Harish Reddy,31,Male,Hyderabad,South,Self-Employed,Doctorate,Single,1554987.0,764.0,3,6,Yes
APP00204,deepak singh,32,Female,Patna,East,Business Owner,Post Graduate,Divorced,1048398.0,735.0,4,3,No
APP00205,Amit Das,30,Male,Bhopal,Central,Self-Employed,Graduate,Divorced,,660.0,0,0,No
APP00206,Geeta Verma,44,Male,Ahmedabad,Central,Self-Employed,Doctorate,Divorced,1375496.0,727.0,4,5,Yes
APP00207,Ajay Iyer,43,Female,Indore,Central,Salaried,Graduate,Widowed,794540.0,716.0,2,1,No
APP00208,Rahul Gupta,42,Male,Patna,East,Business Owner,Graduate,Divorced,650441.0,659.0,1,17,No
APP00209,Nitin Kumar,42,Male,Chennai,South,Freelancer,Post Graduate,Divorced,631153.0,674.0,1,9,Yes
APP00210,Vikram Verma,25,Female,Thane,West,Business Owner,Doctorate,Married,1840790.0,738.0,0,14,No
APP00211,Amit Verma,37,Female,Faridabad,North,Self-Employed,High School,Single,803560.0,673.0,2,1,Yes
APP00212,Sanjay Jain,38,Male,Delhi,North,Salaried,Graduate,Widowed,347071.0,661.0,3,0,No
APP00213,Pooja Nair,40,Male,Delhi,North,Freelancer,Doctorate,Divorced,628187.0,722.0,4,0,No
APP00214,Rahul Joshi,29,Male,Bhopal,Central,Freelancer,,Widowed,461885.0,544.0,2,6,No
APP00215,Harish Yadav,48,Female,Bhopal,Central,Freelancer,Post Graduate,Divorced,377165.0,657.0,0,1,No
APP00216,Pooja Kumar,46,Male,Ahmedabad,Central,Business Owner,Graduate,Married,1456823.0,731.0,3,6,No
APP00217,Manoj Reddy,32,Male,Pune,West,Self-Employed,Graduate,Married,1138243.0,811.0,4,8,Yes
APP00218,Priya Singh,34,Male,Chennai,South,Self-Employed,Doctorate,Married,,575.0,2,5,No
APP00219,Vijay Yadav,33,Male,Hyderabad,South,Salaried,High School,Widowed,429278.0,573.0,0,1,No
APP00220,Pooja Das,28,Male,Chennai,South,Business Owner,Graduate,Divorced,503875.0,583.0,1,4,Yes
APP00221,Nisha Rao,47,Male,Pune,West,Freelancer,Post Graduate,Divorced,567901.0,655.0,1,3,Yes
APP00222,Deepak Singh,44,Female,Faridabad,North,Freelancer,Graduate,Divorced,675065.0,746.0,4,2,Yes
APP00223,Ravi Singh,31,Male,Bangalore,South,Self-Employed,Graduate,Widowed,672560.0,627.0,4,6,No
APP00224,Sneha Roy,32,Female,Mysore,South,Government Employee,Doctorate,Divorced,688165.0,652.0,2,13,Yes
APP00225,Sanjay Iyer,52,Male,Noida,North,Business Owner,Graduate,Widowed,994531.0,653.0,1,6,Yes
APP00226,Sneha Reddy,42,Male,Bhubaneswar,East,Self-Employed,High School,Married,470749.0,612.0,0,3,Yes
APP00227,Vijay Verma,53,Male,Kolkata,East,Government Employee,Doctorate,Married,1066319.0,670.0,1,8,No
APP00228,Anita Iyer,34,Male,Noida,North,Freelancer,High School,Divorced,481524.0,699.0,1,3,No
APP00229,Arun Joshi,36,Male,Gurgaon,North,Business Owner,Doctorate,Widowed,1392612.0,649.0,1,5,Yes
APP00230,Shweta Roy,30,Male,Gurgaon,North,Freelancer,Doctorate,Married,573863.0,649.0,0,0,No
APP00231,Divya Gupta,32,Female,Pune,West,Self-Employed,Graduate,Divorced,853709.0,672.0,0,2,Yes
APP00232,Shweta Reddy,49,Male,Kolkata,East,Government Employee,Doctorate,Widowed,968928.0,708.0,1,1,No
APP00233,Harish Kumar,44,Male,Indore,Central,Government Employee,High School,Widowed,744706.0,700.0,4,6,Yes
APP00234,Vijay Sinha,34,Male,Pune,West,Business Owner,Doctorate,Widowed,2015878.0,788.0,2,8,No
APP00235,Anita Joshi,46,Male,Delhi,North,Business Owner,Post Graduate,Divorced,1622618.0,795.0,2,3,No
APP00236,Arun Gupta,49,Female,Jaipur,Central,Salaried,Graduate,Married,483145.0,676.0,0,8,No
APP00237,Sachin Dubey,36,Female,Ahmedabad,Central,Freelancer,Graduate,Single,522007.0,709.0,2,0,No
APP00238,Vikram Iyer,29,Male,Bangalore,South,Business Owner,Doctorate,Widowed,1830570.0,770.0,2,2,No
APP00239,Anita Sharma,39,Male,Pune,West,Business Owner,High School,Married,976717.0,619.0,2,4,No
APP00240,Geeta Patel,45,Male,Ahmedabad,Central,Salaried,High School,Divorced,749124.0,682.0,3,0,No
